year,state,state_po,office,candidate,party_detailed,writein,candidatevotes,totalvotes,percentvotes
1976,ALABAMA,AL,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,659170,1182850,0.557272689
1976,ALABAMA,AL,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,504070,1182850,0.426148709
1976,ALABAMA,AL,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,9198,1182850,0.007776134
1976,ALABAMA,AL,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,FALSE,6669,1182850,0.005638078
1976,ALABAMA,AL,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,1954,1182850,0.001651942
1976,ALABAMA,AL,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1481,1182850,0.001252061
1976,ALABAMA,AL,US PRESIDENT,,,TRUE,308,1182850,0.000260388
1976,ALASKA,AK,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,71555,123574,0.579045754
1976,ALASKA,AK,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,44058,123574,0.356531309
1976,ALASKA,AK,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,6785,123574,0.054906372
1976,ALASKA,AK,US PRESIDENT,,,TRUE,1176,123574,0.009516565
1976,ARIZONA,AZ,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,418642,742719,0.563661358
1976,ARIZONA,AZ,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,295602,742719,0.397999782
1976,ARIZONA,AZ,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,19229,742719,0.025890007
1976,ARIZONA,AZ,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,7647,742719,0.010295953
1976,ARIZONA,AZ,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,928,742719,0.001249463
1976,ARIZONA,AZ,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,FALSE,564,742719,0.000759372
1976,ARIZONA,AZ,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,85,742719,0.000114444
1976,ARIZONA,AZ,US PRESIDENT,,,TRUE,22,742719,2.96209E-05
1976,ARKANSAS,AR,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,498604,767535,0.649617281
1976,ARKANSAS,AR,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,267903,767535,0.349043366
1976,ARKANSAS,AR,US PRESIDENT,,INDEPENDENT,FALSE,639,767535,0.000832535
1976,ARKANSAS,AR,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,389,767535,0.000506817
1976,CALIFORNIA,CA,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,3882244,7803770,0.49748314
1976,CALIFORNIA,CA,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,3742284,7803770,0.479548218
1976,CALIFORNIA,CA,US PRESIDENT,"MACBRIDE, ROGER",INDEPENDENT,FALSE,56388,7803770,0.007225738
1976,CALIFORNIA,CA,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,51098,7803770,0.006547861
1976,CALIFORNIA,CA,US PRESIDENT,"WRIGHT, MARGARET",PEACE & FREEDOM,FALSE,41731,7803770,0.005347544
1976,CALIFORNIA,CA,US PRESIDENT,"CAMEJO, PETER",INDEPENDENT,FALSE,17259,7803770,0.002211623
1976,CALIFORNIA,CA,US PRESIDENT,"HALL, GUS",INDEPENDENT,FALSE,12766,7803770,0.001635876
1976,COLORADO,CO,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,584278,1081440,0.540277778
1976,COLORADO,CO,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,460801,1081440,0.42609946
1976,COLORADO,CO,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,26047,1081440,0.024085479
1976,COLORADO,CO,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,5338,1081440,0.004936011
1976,COLORADO,CO,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,FALSE,2886,1081440,0.002668664
1976,COLORADO,CO,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,1122,1081440,0.001037506
1976,COLORADO,CO,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,565,1081440,0.000522452
1976,COLORADO,CO,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,403,1081440,0.000372651
1976,CONNECTICUT,CT,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,719261,1386355,0.518814445
1976,CONNECTICUT,CT,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,647895,1386355,0.46733701
1976,CONNECTICUT,CT,US PRESIDENT,SCATTERING,,FALSE,10309,1386355,0.007436046
1976,CONNECTICUT,CT,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,7101,1386355,0.005122065
1976,CONNECTICUT,CT,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,1789,1386355,0.001290434
1976,DELAWARE,DE,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,122461,235642,0.519690887
1976,DELAWARE,DE,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,109780,235642,0.465876202
1976,DELAWARE,DE,US PRESIDENT,,NO PARTY AFFILIATION,FALSE,2432,235642,0.010320741
1976,DELAWARE,DE,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,FALSE,645,235642,0.002737203
1976,DELAWARE,DE,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,135,235642,0.000572903
1976,DELAWARE,DE,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,FALSE,103,235642,0.000437104
1976,DELAWARE,DE,US PRESIDENT,,SOCIALIST LABOR,FALSE,86,235642,0.00036496
1976,DISTRICT OF COLUMBIA,DC,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,137818,168830,0.816312267
1976,DISTRICT OF COLUMBIA,DC,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,27873,168830,0.165095066
1976,DISTRICT OF COLUMBIA,DC,US PRESIDENT,OTHER,,FALSE,1656,168830,0.009808683
1976,DISTRICT OF COLUMBIA,DC,US PRESIDENT,,INDEPENDENT,FALSE,1195,168830,0.007078126
1976,DISTRICT OF COLUMBIA,DC,US PRESIDENT,,,TRUE,288,168830,0.001705858
1976,FLORIDA,FL,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,1636000,3150631,0.519261062
1976,FLORIDA,FL,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,1469531,3150631,0.466424345
1976,FLORIDA,FL,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,23643,3150631,0.007504211
1976,FLORIDA,FL,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,FALSE,21325,3150631,0.006768485
1976,FLORIDA,FL,US PRESIDENT,,,TRUE,132,3150631,4.18964E-05
1976,GEORGIA,GA,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,979409,1463152,0.669382949
1976,GEORGIA,GA,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,483743,1463152,0.330617051
1976,HAWAII,HI,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,147375,291301,0.505919993
1976,HAWAII,HI,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,140003,291301,0.480612837
1976,HAWAII,HI,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,3923,291301,0.01346717
1976,IDAHO,ID,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,204151,340932,0.598802694
1976,IDAHO,ID,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,126549,340932,0.371185456
1976,IDAHO,ID,US PRESIDENT,"MADDOX, LESTER",AMERICAN,FALSE,5935,340932,0.017408164
1976,IDAHO,ID,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,3558,340932,0.010436099
1976,IDAHO,ID,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,739,340932,0.002167588
1976,ILLINOIS,IL,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,2364269,4721282,0.500768435
1976,ILLINOIS,IL,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,2271295,4721282,0.481075903
1976,ILLINOIS,IL,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,55939,4721282,0.011848265
1976,ILLINOIS,IL,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,9250,4721282,0.001959214
1976,ILLINOIS,IL,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,8057,4721282,0.001706528
1976,ILLINOIS,IL,US PRESIDENT,,,TRUE,4417,4721282,0.000935551
1976,ILLINOIS,IL,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,3615,4721282,0.000765682
1976,ILLINOIS,IL,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,FALSE,2422,4721282,0.000512996
1976,ILLINOIS,IL,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,2018,4721282,0.000427426
1976,INDIANA,IN,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,1183958,2220362,0.533227465
1976,INDIANA,IN,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,1014714,2220362,0.457003858
1976,INDIANA,IN,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,FALSE,14048,2220362,0.006326896
1976,INDIANA,IN,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,5695,2220362,0.002564897
1976,INDIANA,IN,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,1947,2220362,0.000876884
1976,IOWA,IA,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,632864,1279303,0.494694377
1976,IOWA,IA,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,619931,1279303,0.484584965
1976,IOWA,IA,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,20057,1279303,0.015678068
1976,IOWA,IA,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN PARTY OF IOWA,FALSE,3041,1279303,0.002377076
1976,IOWA,IA,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1454,1279303,0.001136556
1976,IOWA,IA,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,551,1279303,0.000430703
1976,IOWA,IA,US PRESIDENT,SCATTERING,,FALSE,509,1279303,0.000397873
1976,IOWA,IA,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,262,1279303,0.000204799
1976,IOWA,IA,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,241,1279303,0.000188384
1976,IOWA,IA,US PRESIDENT,"ZEIDLER, FRANK",SOCIALIST U.S.A.,FALSE,233,1279303,0.00018213
1976,IOWA,IA,US PRESIDENT,"JULIUS """"JULES"""", LEVIN",SOCIALIST LABOR,FALSE,160,1279303,0.000125068
1976,KANSAS,KS,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,502752,957845,0.524878242
