year,state,state_po,office,district,candidate,party_detailed,writein,candidatevotes,totalvotes,percentvotes
1976,ARIZONA,AZ,US SENATE,statewide,SAM STEIGER,REPUBLICAN,FALSE,321236,741210,0.433394045
1976,ARIZONA,AZ,US SENATE,statewide,WM. MATHEWS FEIGHAN,INDEPENDENT,FALSE,1565,741210,0.002111412
1976,ARIZONA,AZ,US SENATE,statewide,DENNIS DECONCINI,DEMOCRAT,FALSE,400334,741210,0.540108741
1976,ARIZONA,AZ,US SENATE,statewide,ALLAN NORWITZ,LIBERTARIAN,FALSE,7310,741210,0.009862252
1976,ARIZONA,AZ,US SENATE,statewide,BOB FIELD,INDEPENDENT,FALSE,10765,741210,0.014523549
1976,CALIFORNIA,CA,US SENATE,statewide,JACK MCCOY,AMERICAN INDEPENDENT,FALSE,82739,7470586,0.011075303
1976,CALIFORNIA,CA,US SENATE,statewide,S. I. (SAM) HAYAKAWA,REPUBLICAN,FALSE,3748973,7470586,0.501831182
1976,CALIFORNIA,CA,US SENATE,statewide,JOHN V. TUNNEY,DEMOCRAT,FALSE,3502862,7470586,0.46888718
1976,CALIFORNIA,CA,US SENATE,statewide,OMARI MUSA,INDEPENDENT,FALSE,31629,7470586,0.004233804
1976,CALIFORNIA,CA,US SENATE,statewide,DAVID WALD,PEACE AND FREEDOM,FALSE,104383,7470586,0.013972532
1976,CONNECTICUT,CT,US SENATE,statewide,"LOWELL P. WEICKER, JR.",REPUBLICAN,FALSE,785683,1361666,0.577001262
1976,CONNECTICUT,CT,US SENATE,statewide,SCATTER,,FALSE,558,1361666,0.000409792
1976,CONNECTICUT,CT,US SENATE,statewide,ROBERT BARNABEI,AMERICAN INDEPENDENT,FALSE,14407,1361666,0.010580421
1976,CONNECTICUT,CT,US SENATE,statewide,GLORIA SCHAFFER,DEMOCRAT,FALSE,561018,1361666,0.412008525
1976,DELAWARE,DE,US SENATE,statewide,THOMAS C. MALONEY,DEMOCRAT,FALSE,98042,224795,0.436139594
1976,DELAWARE,DE,US SENATE,statewide,"WILLIAM V. ROTH, JR.",REPUBLICAN,FALSE,125454,224795,0.558081808
1976,DELAWARE,DE,US SENATE,statewide,DONALD G. GIES,AMERICAN,FALSE,646,224795,0.002873729
1976,DELAWARE,DE,US SENATE,statewide,JOHN A. MASSIMILLA,PROHIBITION,FALSE,216,224795,0.000960875
1976,DELAWARE,DE,US SENATE,statewide,JOSEPH F. MCINERNEY,NONE,FALSE,437,224795,0.001943993
1976,FLORIDA,FL,US SENATE,statewide,LAWTON CHILES,DEMOCRAT,FALSE,1799518,2857534,0.629745088
1976,FLORIDA,FL,US SENATE,statewide,SCATTER,,FALSE,130,2857534,4.54938E-05
1976,FLORIDA,FL,US SENATE,statewide,JOHN GRADY,REPUBLICAN,FALSE,1057886,2857534,0.370209418
1976,HAWAII,HI,US SENATE,statewide,SPARK M. MATSUNAGA,DEMOCRAT,FALSE,162305,302092,0.537270103
1976,HAWAII,HI,US SENATE,statewide,JAMES D. KIMMEL,INDEPENDENT,FALSE,1433,302092,0.004743588
1976,HAWAII,HI,US SENATE,statewide,WILLIAM QUINN,REPUBLICAN,FALSE,122724,302092,0.406247104
1976,HAWAII,HI,US SENATE,statewide,ANTHONY N. HODGES,PROHIBITION,FALSE,14226,302092,0.047091614
1976,HAWAII,HI,US SENATE,statewide,ROCKNE JOHNSON,LIBERTARIAN,FALSE,1404,302092,0.004647591
1976,INDIANA,IN,US SENATE,statewide,RICHARD G. LUGAR,REPUBLICAN,FALSE,1275833,2161187,0.590339013
1976,INDIANA,IN,US SENATE,statewide,VANCE HARTKE,DEMOCRAT,FALSE,868522,2161187,0.401872675
1976,INDIANA,IN,US SENATE,statewide,DON L. LEE,INDEPENDENT,FALSE,14321,2161187,0.006626451
1976,INDIANA,IN,US SENATE,statewide,DAVID LEE HOAGLAND,U.S. LABOR,FALSE,2511,2161187,0.001161862
1976,MAINE,ME,US SENATE,statewide,ROBERT A. G. MONKS,REPUBLICAN,FALSE,193489,486193,0.397967474
1976,MAINE,ME,US SENATE,statewide,EDMUND S. MUSKIE,DEMOCRAT,FALSE,292704,486193,0.602032526
1976,MARYLAND,MD,US SENATE,statewide,"J. GLENN BEALL, JR.",REPUBLICAN,FALSE,530439,1365290,0.388517458
1976,MARYLAND,MD,US SENATE,statewide,PAUL S. SARBANES,DEMOCRAT,FALSE,772101,1365290,0.565521611
1976,MARYLAND,MD,US SENATE,statewide,BRUCE BRADLEY,INDEPENDENT,FALSE,62750,1365290,0.045960931
1976,MASSACHUSETTS,MA,US SENATE,statewide,CAROL HENDERSON EVANS,SOCIALIST WORKERS,FALSE,26283,2491255,0.010550104
1976,MASSACHUSETTS,MA,US SENATE,statewide,SCATTER,,FALSE,157,2491255,6.30204E-05
1976,MASSACHUSETTS,MA,US SENATE,statewide,MICHAEL S. ROBERTSON,REPUBLICAN,FALSE,722641,2491255,0.290071069
1976,MASSACHUSETTS,MA,US SENATE,statewide,H. GRAHAM LOWRY,U.S. LABOR,FALSE,15517,2491255,0.006228588
1976,MASSACHUSETTS,MA,US SENATE,statewide,EDWARD M. KENNEDY,DEMOCRAT,FALSE,1726657,2491255,0.693087219
1976,MICHIGAN,MI,US SENATE,statewide,BETTE JANE ERWIN,LIBERTARIAN,FALSE,8842,3490412,0.002533225
1976,MICHIGAN,MI,US SENATE,statewide,THEODORE G. ALBERT,HUMAN RIGHTS,FALSE,7281,3490412,0.002086
1976,MICHIGAN,MI,US SENATE,statewide,MARVIN L. ESCH,REPUBLICAN,FALSE,1635087,3490412,0.468451002
1976,MICHIGAN,MI,US SENATE,statewide,"DONALD W. RIEGLE, JR.",DEMOCRAT,FALSE,1831031,3490412,0.524588788
