year,state,state_po,office,district,candidate,party,writein,candidatevotes,totalvotes,percentvotes
1976,ALABAMA,AL,US HOUSE,1,BILL DAVENPORT,DEMOCRAT,FALSE,58906,157170,0.374791627
1976,ALABAMA,AL,US HOUSE,1,JACK EDWARDS,REPUBLICAN,FALSE,98257,157170,0.625163835
1976,ALABAMA,AL,US HOUSE,1,WRITEIN,,TRUE,7,157170,4.45378E-05
1976,ALABAMA,AL,US HOUSE,2,J CAROLE KEAHEY,DEMOCRAT,FALSE,66288,156362,0.42393932
1976,ALABAMA,AL,US HOUSE,2,"WILLIAM L ""BILL"" DICKINSON",REPUBLICAN,FALSE,90069,156362,0.576028703
1976,ALABAMA,AL,US HOUSE,2,WRITEIN,,TRUE,5,156362,3.19771E-05
1976,ALABAMA,AL,US HOUSE,3,BILL NICHOLS,DEMOCRAT,FALSE,106935,108048,0.989699023
1976,ALABAMA,AL,US HOUSE,3,OGBURN GARDNER,PROHIBITION,FALSE,1111,108048,0.010282467
1976,ALABAMA,AL,US HOUSE,3,WRITEIN,,TRUE,2,108048,1.85103E-05
1976,ALABAMA,AL,US HOUSE,4,LEONARD WILSON,REPUBLICAN,FALSE,34531,176022,0.196174342
1976,ALABAMA,AL,US HOUSE,4,TOM BEVILL,DEMOCRAT,FALSE,141490,176022,0.803819977
1976,ALABAMA,AL,US HOUSE,4,WRITEIN,,TRUE,1,176022,5.68111E-06
1976,ALABAMA,AL,US HOUSE,5,RONNIE G FLIPPO,DEMOCRAT,FALSE,113553,113560,0.999938359
1976,ALABAMA,AL,US HOUSE,5,WRITEIN,,TRUE,7,113560,6.16414E-05
1976,ALABAMA,AL,US HOUSE,6,BILLY E DORSEY,NATIONAL DEMOCRAT,FALSE,1021,162518,0.006282381
1976,ALABAMA,AL,US HOUSE,6,JOHN H BUCHANAN JR,REPUBLICAN,FALSE,92113,162518,0.566786448
1976,ALABAMA,AL,US HOUSE,6,MEL BAILEY,DEMOCRAT,FALSE,69384,162518,0.426931171
1976,ALABAMA,AL,US HOUSE,7,WALTER FLOWERS,DEMOCRAT,FALSE,110496,110501,0.999954752
1976,ALABAMA,AL,US HOUSE,7,WRITEIN,,TRUE,5,110501,4.52485E-05
1976,ALASKA,AK,US HOUSE,0,DON YOUNG,REPUBLICAN,FALSE,83722,118208,0.708260016
1976,ALASKA,AK,US HOUSE,0,EBEN HOPSON,DEMOCRAT,FALSE,34194,118208,0.289269762
1976,ALASKA,AK,US HOUSE,0,WRITEIN,,TRUE,292,118208,0.002470222
1976,ARIZONA,AZ,US HOUSE,1,HARRY BRAUN,INDEPENDENT,FALSE,1040,168119,0.006186094
1976,ARIZONA,AZ,US HOUSE,1,JOHN J RHODES,REPUBLICAN,FALSE,96397,168119,0.573385519
1976,ARIZONA,AZ,US HOUSE,1,PATRICIA M FULLINWIDER,DEMOCRAT,FALSE,68404,168119,0.406878461
1976,ARIZONA,AZ,US HOUSE,1,SUMMER DUNCAN DODGE,LIBERTARIAN,FALSE,2278,168119,0.013549926
1976,ARIZONA,AZ,US HOUSE,2,LAIRD GUTTERSEN,REPUBLICAN,FALSE,71765,182128,0.394036063
1976,ARIZONA,AZ,US HOUSE,2,MICHAEL EMERLING,LIBERTARIAN,FALSE,4309,182128,0.023659185
1976,ARIZONA,AZ,US HOUSE,2,MORRIS K UDALL,DEMOCRAT,FALSE,106054,182128,0.582304753
1976,ARIZONA,AZ,US HOUSE,3,BILL MCCUNE,INDEPENDENT,FALSE,19149,187165,0.102310795
1976,ARIZONA,AZ,US HOUSE,3,BOB STUMP,DEMOCRAT,FALSE,88854,187165,0.474736195
1976,ARIZONA,AZ,US HOUSE,3,FRED KOORY JR,REPUBLICAN,FALSE,79162,187165,0.422953009
1976,ARIZONA,AZ,US HOUSE,4,ELDON RUDD,REPUBLICAN,FALSE,93154,191590,0.486215356
1976,ARIZONA,AZ,US HOUSE,4,PAT HARPER,LIBERTARIAN,FALSE,6001,191590,0.031322094
1976,ARIZONA,AZ,US HOUSE,4,TONY MASON,DEMOCRAT,FALSE,92435,191590,0.48246255
1976,ARKANSAS,AR,US HOUSE,1,BILL ALEXANDER,DEMOCRAT,FALSE,116217,168782,0.688562761
1976,ARKANSAS,AR,US HOUSE,1,"HARLAN ""BO"" HOLLEMAN",REPUBLICAN,FALSE,52565,168782,0.311437239
1976,ARKANSAS,AR,US HOUSE,2,JAMES J KELLY,REPUBLICAN,FALSE,22819,167607,0.136145865
1976,ARKANSAS,AR,US HOUSE,2,JIM GUY TUCKER,DEMOCRAT,FALSE,144780,167607,0.863806404
1976,ARKANSAS,AR,US HOUSE,2,WRITEIN,,TRUE,8,167607,4.77307E-05
1976,ARKANSAS,AR,US HOUSE,3,JOHN PAUL HAMMERSCHMIDT,REPUBLICAN,FALSE,1,1,1
1976,ARKANSAS,AR,US HOUSE,4,RAY THORNTON,DEMOCRAT,FALSE,1,1,1
1976,CALIFORNIA,CA,US HOUSE,1,"HAROLD T ""BIZZ"" JOHNSON",DEMOCRAT,FALSE,160477,217016,0.739470822
1976,CALIFORNIA,CA,US HOUSE,1,JAMES E TAYLOR,REPUBLICAN,FALSE,56539,217016,0.260529178
1976,CALIFORNIA,CA,US HOUSE,2,DON H CLAUSEN,REPUBLICAN,FALSE,121290,216563,0.560067971
1976,CALIFORNIA,CA,US HOUSE,2,OSCAR KLEE,DEMOCRAT,FALSE,88829,216563,0.410176254
1976,CALIFORNIA,CA,US HOUSE,2,ROBERT B ALLRED,PEACE AND FREEDOM,FALSE,6444,216563,0.029755775
1976,CALIFORNIA,CA,US HOUSE,3,GEORGE R MARSH JR,REPUBLICAN,FALSE,52075,191854,0.271430359
1976,CALIFORNIA,CA,US HOUSE,3,JOHN E MOSS,DEMOCRAT,FALSE,139779,191854,0.728569641
1976,CALIFORNIA,CA,US HOUSE,4,ALBERT DEHR,REPUBLICAN,FALSE,75193,151037,0.497844899
1976,CALIFORNIA,CA,US HOUSE,4,ROBERT L LEGGETT,DEMOCRAT,FALSE,75844,151037,0.502155101
1976,CALIFORNIA,CA,US HOUSE,5,BRANWELL FANNING,REPUBLICAN,FALSE,64008,167754,0.381558711
1976,CALIFORNIA,CA,US HOUSE,5,JOHN L BURTON,DEMOCRAT,FALSE,103746,167754,0.618441289
1976,CALIFORNIA,CA,US HOUSE,6,EMILY SIEGEL,PEACE AND FREEDOM,FALSE,6570,130916,0.050184851
1976,CALIFORNIA,CA,US HOUSE,6,PHILLIP BURTON,DEMOCRAT,FALSE,86493,130916,0.660675548
1976,CALIFORNIA,CA,US HOUSE,6,RAYMOND O HEAPS,AMERICAN INDEPENDENT,FALSE,2494,130916,0.019050383
1976,CALIFORNIA,CA,US HOUSE,6,TOM SPINOSA,REPUBLICAN,FALSE,35359,130916,0.270089218
1976,CALIFORNIA,CA,US HOUSE,7,GEORGE MILLER,DEMOCRAT,FALSE,147064,196816,0.747215674
1976,CALIFORNIA,CA,US HOUSE,7,MELVIN E STANLEY,AMERICAN INDEPENDENT,FALSE,3889,196816,0.019759572
1976,CALIFORNIA,CA,US HOUSE,7,ROBERT L VICKERS,REPUBLICAN,FALSE,45863,196816,0.233024754
1976,CALIFORNIA,CA,US HOUSE,8,PHILIP STILES BRECK JR,REPUBLICAN,FALSE,68374,196954,0.347157204
1976,CALIFORNIA,CA,US HOUSE,8,ROBERT J EVANS,PEACE AND FREEDOM,FALSE,6238,196954,0.03167237
1976,CALIFORNIA,CA,US HOUSE,8,RONALD V DELLUMS,DEMOCRAT,FALSE,122342,196954,0.621170426
1976,CALIFORNIA,CA,US HOUSE,9,ALBERT L SARGIS,PEACE AND FREEDOM,FALSE,3386,164391,0.020597235
1976,CALIFORNIA,CA,US HOUSE,9,"FORTNEY H ""PETE"" STARK",DEMOCRAT,FALSE,116398,164391,0.708055794
1976,CALIFORNIA,CA,US HOUSE,9,JAMES K MILLS,REPUBLICAN,FALSE,44607,164391,0.271346972
1976,CALIFORNIA,CA,US HOUSE,10,DON EDWARDS,DEMOCRAT,FALSE,111992,155443,0.720469883
1976,CALIFORNIA,CA,US HOUSE,10,EDMON V KAISER,AMERICAN INDEPENDENT,FALSE,5363,155443,0.034501393
1976,CALIFORNIA,CA,US HOUSE,10,HERB SMITH,REPUBLICAN,FALSE,38088,155443,0.245028724
1976,CALIFORNIA,CA,US HOUSE,11,BOB JONES,REPUBLICAN,FALSE,62435,176194,0.354353724
1976,CALIFORNIA,CA,US HOUSE,11,LEO J RYAN,DEMOCRAT,FALSE,107618,176194,0.610792649
1976,CALIFORNIA,CA,US HOUSE,11,NICHOLAS W KUDROVZEFF,AMERICAN INDEPENDENT,FALSE,6141,176194,0.034853627
1976,CALIFORNIA,CA,US HOUSE,12,DAVID HARRIS,DEMOCRAT,FALSE,61526,196857,0.312541591
1976,CALIFORNIA,CA,US HOUSE,12,JOSEPH DAVID COONEY,AMERICAN INDEPENDENT,FALSE,4999,196857,0.025394068
1976,CALIFORNIA,CA,US HOUSE,12,"PAUL N ""PETE"" MCCLOSKEY JR",REPUBLICAN,FALSE,130332,196857,0.662064341
1976,CALIFORNIA,CA,US HOUSE,13,ERNEST L KONNYU,REPUBLICAN,FALSE,63130,202611,0.311582293
1976,CALIFORNIA,CA,US HOUSE,13,NORMAN Y MINETA,DEMOCRAT,FALSE,135291,202611,0.667737685
1976,CALIFORNIA,CA,US HOUSE,13,WILLIAM P HERRELL,AMERICAN INDEPENDENT,FALSE,4190,202611,0.020680022
1976,CALIFORNIA,CA,US HOUSE,14,JOHN J MCFALL,DEMOCRAT,FALSE,123285,169959,0.725380827
1976,CALIFORNIA,CA,US HOUSE,14,ROGER A BLAIN,REPUBLICAN,FALSE,46674,169959,0.274619173
1976,CALIFORNIA,CA,US HOUSE,15,B F SISK,DEMOCRAT,FALSE,92735,128435,0.722038385
1976,CALIFORNIA,CA,US HOUSE,15,CAROL HARNER,REPUBLICAN,FALSE,35700,128435,0.277961615
1976,CALIFORNIA,CA,US HOUSE,16,BURT TALCOTT,REPUBLICAN,FALSE,91160,195705,0.465803122
1976,CALIFORNIA,CA,US HOUSE,16,LEON E PANETTA,DEMOCRAT,FALSE,104545,195705,0.534196878
1976,CALIFORNIA,CA,US HOUSE,17,HENRY J ANDREAS,REPUBLICAN,FALSE,54270,158168,0.34311618
1976,CALIFORNIA,CA,US HOUSE,17,JOHN KREBS,DEMOCRAT,FALSE,103898,158168,0.65688382
1976,CALIFORNIA,CA,US HOUSE,18,DEAN CLOSE,DEMOCRAT,FALSE,56683,158341,0.357980561
1976,CALIFORNIA,CA,US HOUSE,18,WILLIAM M KETCHUM,REPUBLICAN,FALSE,101658,158341,0.642019439
1976,CALIFORNIA,CA,US HOUSE,19,DAN SISSON,DEMOCRAT,FALSE,68722,192923,0.356214656
1976,CALIFORNIA,CA,US HOUSE,19,ROBERT J LAGOMARSINO,REPUBLICAN,FALSE,124201,192923,0.643785344
1976,CALIFORNIA,CA,US HOUSE,20,BARRY GOLDWATER JR,REPUBLICAN,FALSE,146158,217351,0.672451473
1976,CALIFORNIA,CA,US HOUSE,20,PATTI LEAR CORMAN,DEMOCRAT,FALSE,71193,217351,0.327548527
1976,CALIFORNIA,CA,US HOUSE,21,BILL HILL,PEACE AND FREEDOM,FALSE,7178,153109,0.046881633
1976,CALIFORNIA,CA,US HOUSE,21,"ERWIN ""ED"" HOGAN",REPUBLICAN,FALSE,44094,153109,0.287990908
1976,CALIFORNIA,CA,US HOUSE,21,JAMES C CORMAN,DEMOCRAT,FALSE,101837,153109,0.665127458
1976,CALIFORNIA,CA,US HOUSE,22,CARLOS J MOORHEAD,REPUBLICAN,FALSE,114769,183312,0.626085581
1976,CALIFORNIA,CA,US HOUSE,22,ROBERT L SALLEY,DEMOCRAT,FALSE,68543,183312,0.373914419
1976,CALIFORNIA,CA,US HOUSE,23,ANTHONY C BEILENSON,DEMOCRAT,FALSE,130619,217053,0.601783896
1976,CALIFORNIA,CA,US HOUSE,23,THOMAS F BARTMAN,REPUBLICAN,FALSE,86434,217053,0.398216104
1976,CALIFORNIA,CA,US HOUSE,24,DAVID IRVING SIMMONS,REPUBLICAN,FALSE,51478,159774,0.322192597
1976,CALIFORNIA,CA,US HOUSE,24,HENY A WAXMAN,DEMOCRAT,FALSE,108296,159774,0.677807403
